Date,Type,Ticker Symbol,Volume,Total OI
6/21/2018,P,FB,99077,1003981
6/22/2018,,FB,263947,2251926
6/22/2018,C,FB,187641,1233580
6/22/2018,P,FB,76306,1018346
6/25/2018,,FB,288478,2192934
6/25/2018,C,FB,193667,1209592
6/25/2018,P,FB,94811,983342
6/26/2018,,FB,162746,2248032
6/26/2018,C,FB,112982,1245192
6/26/2018,P,FB,49764,1002840
6/27/2018,,FB,178042,2279222
6/27/2018,C,FB,123700,1261463
6/27/2018,P,FB,54342,1017759
6/28/2018,,FB,170207,2313556
6/28/2018,C,FB,117392,1286665
6/28/2018,P,FB,52815,1026891
6/29/2018,,FB,159901,2335970
6/29/2018,C,FB,107393,1301082
6/29/2018,P,FB,52508,1034888
7/2/2018,,FB,149113,2230371
7/2/2018,C,FB,92892,1239094
7/2/2018,P,FB,56221,991277
7/3/2018,,FB,157762,2271453
7/3/2018,C,FB,93739,1258238
7/3/2018,P,FB,64023,1013215
7/5/2018,,FB,227850,2310166
7/5/2018,C,FB,156336,1280889
7/5/2018,P,FB,71514,1029277
7/6/2018,,FB,356985,2328719
7/6/2018,C,FB,238953,1285745
7/6/2018,P,FB,118032,1042974
7/9/2018,,FB,234885,2274394
7/9/2018,C,FB,154570,1264413
7/9/2018,P,FB,80315,1009981
7/10/2018,,FB,161395,2311463
7/10/2018,C,FB,97043,1283955
7/10/2018,P,FB,64352,1027508
7/11/2018,,FB,133754,2341121
7/11/2018,C,FB,73971,1299102
7/11/2018,P,FB,59783,1042019
7/12/2018,,FB,283174,2352497
7/12/2018,C,FB,183280,1302946
7/12/2018,P,FB,99894,1049551
7/13/2018,,FB,251025,2388816
7/13/2018,C,FB,157810,1312500
7/13/2018,P,FB,93215,1076316
7/16/2018,,FB,263078,2305715
7/16/2018,C,FB,153371,1271031
7/16/2018,P,FB,109707,1034684
7/17/2018,,FB,248667,2387102
7/17/2018,C,FB,146448,1313324
7/17/2018,P,FB,102219,1073778
7/18/2018,,FB,239275,2436954
7/18/2018,C,FB,148802,1335049
7/18/2018,P,FB,90473,1101905
7/19/2018,,FB,150859,2482486
7/19/2018,C,FB,85582,1353704
7/19/2018,P,FB,65277,1128782
7/20/2018,,FB,268845,2504280
7/20/2018,C,FB,165724,1363233
7/20/2018,P,FB,103121,1141047
7/23/2018,,FB,171410,2014150
7/23/2018,C,FB,105456,1098991
7/23/2018,P,FB,65954,915159
7/24/2018,,FB,354352,2068354
7/24/2018,C,FB,235400,1126794
7/24/2018,P,FB,118952,941560
7/25/2018,,FB,661507,2160728
7/25/2018,C,FB,432812,1178860
7/25/2018,P,FB,228695,981868
7/26/2018,,FB,1743243,2353055
7/26/2018,C,FB,1024084,1292844
7/26/2018,P,FB,719159,1060211
7/27/2018,,FB,816059,2881187
7/27/2018,C,FB,434967,1646608
7/27/2018,P,FB,381092,1234579
7/30/2018,,FB,667478,2720765
7/30/2018,C,FB,372955,1543660
7/30/2018,P,FB,294523,1177105
7/31/2018,,FB,355582,2880948
7/31/2018,C,FB,224210,1642108
7/31/2018,P,FB,131372,1238840
8/1/2018,,FB,395849,2940780
8/1/2018,C,FB,226507,1694338
8/1/2018,P,FB,169342,1246442
8/2/2018,,FB,384470,2969744
8/2/2018,C,FB,240182,1713658
8/2/2018,P,FB,144288,1256086
8/3/2018,,FB,385074,3031498
8/3/2018,C,FB,232975,1745131
8/3/2018,P,FB,152099,1286367
8/6/2018,,FB,699853,2862998
8/6/2018,C,FB,488285,1644635
8/6/2018,P,FB,211568,1218363
8/7/2018,,FB,415104,2954687
8/7/2018,C,FB,254421,1684692
8/7/2018,P,FB,160683,1269995
8/8/2018,,FB,330284,3000901
8/8/2018,C,FB,202124,1704629
8/8/2018,P,FB,128160,1296272
8/9/2018,,FB,422838,3051226
8/9/2018,C,FB,244133,1726013
8/9/2018,P,FB,178705,1325213
8/10/2018,,FB,351294,3240531
8/10/2018,C,FB,195478,1821569
8/10/2018,P,FB,155816,1418962
8/13/2018,,FB,223436,3136132
8/13/2018,C,FB,135394,1765862
8/13/2018,P,FB,88042,1370270
8/14/2018,,FB,191473,3192540
8/14/2018,C,FB,114198,1793643
8/14/2018,P,FB,77275,1398897
8/15/2018,,FB,341392,3227054
8/15/2018,C,FB,191526,1814372
8/15/2018,P,FB,149866,1412682
8/16/2018,,FB,375077,3277264
8/16/2018,C,FB,217206,1848811
8/16/2018,P,FB,157871,1428453
8/17/2018,,FB,413616,3357914
8/17/2018,C,FB,232220,1901161
8/17/2018,P,FB,181396,1456753
8/20/2018,,FB,259510,2771434
8/20/2018,C,FB,146817,1525801
8/20/2018,P,FB,112693,1245633
8/21/2018,,FB,218341,2847752
