,AMZN,AAPL,META,GOOGL,MSFT,NFLX
1/9/2017,0.31955,0.223989,0.2986265,0.2598815,0.253498,0.529797
1/10/2017,0.3178415,0.22329,0.3030145,0.25848,0.2519125,0.5252405
1/11/2017,0.319292,0.2248395,0.298798,0.2515535,0.2460605,0.5247895
1/12/2017,0.3169465,0.2237795,0.301587,0.2527345,0.244269,0.4988355
1/13/2017,0.30518,0.2183265,0.296843,0.2449265,0.2444335,0.4938755
1/17/2017,0.302108,0.218106,0.2940365,0.24086,0.2456615,0.50353
1/18/2017,0.2983965,0.209597,0.284399,0.2247305,0.2334245,0.494873
1/19/2017,0.2953405,0.211872,0.28297,0.227357,0.229471,0.287445
1/20/2017,0.2972165,0.200734,0.2722685,0.2062215,0.2206185,0.2663865
1/23/2017,0.295061,0.2059915,0.2718465,0.216989,0.220335,0.259259
1/24/2017,0.285317,0.2036485,0.277607,0.2084075,0.220026,0.2601935
1/25/2017,0.278723,0.1975515,0.2777795,0.216279,0.219578,0.2558865
1/26/2017,0.2862165,0.1966485,0.2891355,0.2271895,0.238805,0.2801855
1/27/2017,0.282665,0.1911745,0.283417,0.1528615,0.131831,0.290661
1/30/2017,0.2910185,0.2038015,0.2894325,0.1752695,0.15065,0.299884
1/31/2017,0.2921105,0.2082935,0.2837525,0.1719895,0.1558055,0.29591
2/1/2017,0.298608,0.1607025,0.2942675,0.1729825,0.158716,0.2840235
2/2/2017,0.2900085,0.144189,0.227282,0.16697,0.1660755,0.282595
2/3/2017,0.1935135,0.140964,0.2069815,0.1510105,0.149021,0.2672175
2/6/2017,0.1773735,0.1472605,0.2008835,0.1543145,0.149987,0.2590815
2/7/2017,0.17095,0.143614,0.1883505,0.14524,0.1481,0.2687315
2/8/2017,0.1688995,0.143227,0.1877655,0.14542,0.1447215,0.259487
2/9/2017,0.1679625,0.137096,0.1862375,0.137709,0.148152,0.2575855
2/10/2017,0.1545985,0.1414425,0.175936,0.1368615,0.1423175,0.2555905
2/13/2017,0.164705,0.151416,0.181322,0.1419495,0.141866,0.2514345
2/14/2017,0.1631785,0.1576665,0.1763935,0.1393765,0.140093,0.2505805
2/15/2017,0.1657125,0.1647775,0.1763995,0.1407625,0.1390265,0.249192
2/16/2017,0.1680805,0.165786,0.1735365,0.138367,0.1385155,0.2395695
2/17/2017,0.1660175,0.1579415,0.1738945,0.1298695,0.134767,0.2404805
2/21/2017,0.167578,0.1576965,0.177353,0.134946,0.1416425,0.240367
2/22/2017,0.1676125,0.155362,0.183539,0.1322825,0.1418355,0.2388685
2/23/2017,0.171362,0.15415,0.1807405,0.1324095,0.1415475,0.2360605
2/24/2017,0.170891,0.1501935,0.176821,0.1314585,0.1384105,0.2353035
2/27/2017,0.1668705,0.1521085,0.178899,0.1291105,0.1428235,0.2371935
2/28/2017,0.166829,0.1560085,0.184106,0.1421875,0.145237,0.234686
3/1/2017,0.161877,0.156628,0.1726545,0.1315955,0.140524,0.226623
3/2/2017,0.156058,0.155445,0.1730865,0.13316,0.1454755,0.23112
3/3/2017,0.1478185,0.151234,0.1601105,0.126828,0.135088,0.2393625
3/6/2017,0.1533375,0.1550375,0.162409,0.1315895,0.1358615,0.2418685
3/7/2017,0.1482675,0.154111,0.158727,0.1302975,0.1324225,0.2282135
3/8/2017,0.147516,0.1524175,0.1554165,0.133387,0.132275,0.2208855
3/9/2017,0.1525075,0.154367,0.1597185,0.1346915,0.1411015,0.2358105
3/10/2017,0.152521,0.149095,0.151023,0.1304,0.1333555,0.2286495
3/13/2017,0.15972,0.1455775,0.156947,0.1391945,0.1370515,0.26
3/14/2017,0.1607005,0.148455,0.1610205,0.13972,0.1408015,0.2676195
3/15/2017,0.1635235,0.145953,0.1639695,0.1393535,0.137937,0.276065
3/16/2017,0.1691145,0.146299,0.161743,0.1388405,0.138178,0.2871085
3/17/2017,0.1680445,0.146554,0.152352,0.1332765,0.1343935,0.3021245
3/20/2017,0.1753435,0.143539,0.151393,0.134705,0.136769,0.3761835
3/21/2017,0.1975885,0.160932,0.177619,0.1632085,0.15395,0.3854735
3/22/2017,0.1988305,0.162418,0.1765065,0.1706485,0.1559705,0.395823
3/23/2017,0.210653,0.168424,0.190121,0.188489,0.171816,0.3955405
3/24/2017,0.2112755,0.172491,0.1904295,0.1941815,0.169226,0.3940475
3/27/2017,0.2292795,0.1885955,0.20658,0.2054935,0.1849045,0.406221
3/28/2017,0.2281645,0.1898095,0.2014435,0.203409,0.1781825,0.404062
3/29/2017,0.2395275,0.192987,0.198012,0.2010135,0.1775225,0.420678
3/30/2017,0.2400935,0.1934235,0.204618,0.200862,0.1856455,0.4157505
3/31/2017,0.245345,0.19292,0.205303,0.195461,0.1858985,0.4091645
4/3/2017,0.2587795,0.2046795,0.2183185,0.198266,0.196393,0.4143555
4/4/2017,0.2651635,0.2000115,0.2237355,0.199089,0.195648,0.413091
4/5/2017,0.2811595,0.20359,0.230971,0.209599,0.1970185,0.420338
4/6/2017,0.2787375,0.202963,0.232915,0.207095,0.1918135,0.421415
4/7/2017,0.2745185,0.2021,0.2346485,0.203009,0.198103,0.4156985
4/10/2017,0.2841145,0.2094405,0.2402995,0.202708,0.2131325,0.422043
4/11/2017,0.291322,0.2172955,0.257968,0.207559,0.222119,0.4268415
4/12/2017,0.2912305,0.216486,0.2602425,0.2164265,0.2247085,0.4285965
4/13/2017,0.281504,0.2136115,0.2515445,0.204454,0.223064,0.431755
4/17/2017,0.273702,0.207443,0.244816,0.200036,0.218792,0.4195675
4/18/2017,0.265942,0.20402,0.25365,0.204283,0.2317955,0.2524845
4/19/2017,0.261448,0.201288,0.236698,0.201574,0.230337,0.255692
4/20/2017,0.252745,0.1955685,0.2226595,0.202101,0.221603,0.2453835
4/21/2017,0.2490105,0.200521,0.222265,0.2062785,0.213238,0.2393495
4/24/2017,0.24782,0.194051,0.218188,0.1867825,0.2009265,0.215396
4/25/2017,0.249779,0.193065,0.226937,0.20224,0.204138,0.262339
4/26/2017,0.2577485,0.2052175,0.232818,0.2046545,0.21179,0.246699
4/27/2017,0.266435,0.20077,0.2298105,0.1972995,0.214884,0.2472
4/28/2017,0.169847,0.1958395,0.2360475,0.1265155,0.126411,0.239549
5/1/2017,0.1679495,0.204015,0.2375345,0.131443,0.126273,0.2513305
5/2/2017,0.166497,0.203524,0.241849,0.1293855,0.133548,0.2451205
5/3/2017,0.168423,0.1476835,0.2220985,0.132468,0.131157,0.239603
5/4/2017,0.170348,0.135139,0.163746,0.1411245,0.1337555,0.238815
5/5/2017,0.168032,0.1388555,0.1644195,0.137815,0.13301,0.244451
5/8/2017,0.1774295,0.1582495,0.1636645,0.139651,0.13934,0.2445315
5/9/2017,0.174017,0.16289,0.1740015,0.144338,0.1492665,0.242852
5/10/2017,0.174653,0.16289,0.174876,0.138385,0.1495325,0.23899
5/11/2017,0.173566,0.1624795,0.176416,0.139903,0.1499955,0.2363545
5/12/2017,0.1778565,0.1700225,0.1699385,0.1389885,0.146969,0.2384745
5/15/2017,0.171209,0.178039,0.1705105,0.137771,0.146901,0.2357255
5/16/2017,0.1649675,0.172924,0.1668025,0.132398,0.1377785,0.232946
5/17/2017,0.1999855,0.2114485,0.201332,0.1506135,0.1699965,0.2684465
5/18/2017,0.1823425,0.201676,0.1869495,0.148869,0.1672535,0.260747
5/19/2017,0.1714225,0.1846485,0.184376,0.1427245,0.155388,0.2631725
5/22/2017,0.171355,0.173065,0.175767,0.140582,0.147634,0.255469
5/23/2017,0.1689575,0.174396,0.1724085,0.143203,0.1458055,0.252052
5/24/2017,0.1628355,0.1679175,0.16744,0.141201,0.144035,0.2472975
5/25/2017,0.173318,0.164327,0.169642,0.1478175,0.141105,0.258996
5/26/2017,0.174255,0.1550955,0.165135,0.146288,0.136294,0.254907
5/30/2017,0.185184,0.1581955,0.175696,0.155257,0.1422725,0.2557505
5/31/2017,0.181436,0.165588,0.180851,0.1579215,0.145247,0.254676
6/1/2017,0.172777,0.1593365,0.174333,0.1524875,0.139532,0.2465415
6/2/2017,0.171365,0.1591285,0.162753,0.1508855,0.141315,0.240002
6/5/2017,0.1713305,0.1627185,0.171173,0.1554135,0.149234,0.244307
6/6/2017,0.173118,0.1644555,0.1701035,0.144935,0.1492895,0.2397455
6/7/2017,0.167823,0.1659985,0.170883,0.1509595,0.1509885,0.238625
6/8/2017,0.179009,0.165172,0.1711795,0.153275,0.1524095,0.2487465
6/9/2017,0.2315185,0.226895,0.226067,0.1871805,0.181599,0.2812305
6/12/2017,0.240227,0.221576,0.224932,0.1965395,0.191327,0.3267965
6/13/2017,0.2112465,0.1876135,0.205026,0.179347,0.1720255,0.3102035
6/14/2017,0.2166955,0.195151,0.2088395,0.1847855,0.184944,0.328413
6/15/2017,0.2393785,0.2019755,0.218406,0.199498,0.1933215,0.335402
6/16/2017,0.228161,0.198773,0.20955,0.19129,0.181707,0.3454835
6/19/2017,0.21551,0.1863865,0.195282,0.1838315,0.1988525,0.3495405
6/20/2017,0.2300355,0.185402,0.206076,0.1959655,0.2052945,0.3964375
6/21/2017,0.221668,0.184114,0.196425,0.1926095,0.206726,0.411946
6/22/2017,0.2374675,0.1896045,0.20315,0.2015645,0.2104505,0.4055155
6/23/2017,0.235778,0.1829465,0.194876,0.20218,0.201357,0.402772
6/26/2017,0.268144,0.2030135,0.2237595,0.229199,0.2131595,0.4191265
6/27/2017,0.2837205,0.2180805,0.248419,0.244475,0.238149,0.4515225
6/28/2017,0.272813,0.2069035,0.229849,0.2462615,0.221682,0.419537
6/29/2017,0.291495,0.227685,0.2535445,0.27367,0.2367865,0.436697
6/30/2017,0.286088,0.222169,0.250909,0.2707475,0.226924,0.428792
7/3/2017,0.2986215,0.2399555,0.289374,0.2821665,0.2384485,0.4494635
7/5/2017,0.2887165,0.2388275,0.282541,0.2683755,0.2363065,0.4488025
7/6/2017,0.2888765,0.251185,0.290857,0.2782765,0.242005,0.463668
7/7/2017,0.2716445,0.233692,0.2725835,0.2654045,0.2305905,0.453449
7/10/2017,0.2817275,0.237952,0.2639095,0.256409,0.229725,0.4679995
7/11/2017,0.282694,0.2301095,0.2598075,0.2492075,0.227412,0.4678345
7/12/2017,0.275296,0.227449,0.2619235,0.24128,0.2251085,0.451261
7/13/2017,0.269281,0.226101,0.25764,0.2440195,0.2232755,0.432861
7/14/2017,0.2574225,0.221428,0.250404,0.2312695,0.225002,0.4228065
7/17/2017,0.259577,0.2358305,0.253438,0.23576,0.222774,0.4160725
7/18/2017,0.2695595,0.235924,0.260607,0.2349115,0.2286495,0.3095575
7/19/2017,0.2665325,0.2293525,0.273674,0.2342975,0.223685,0.3106185
7/20/2017,0.267707,0.2312545,0.279967,0.2369805,0.226432,0.312819
7/21/2017,0.261833,0.2266375,0.275806,0.2346735,0.1505945,0.321035
7/24/2017,0.2667485,0.2407035,0.2819325,0.2391675,0.1518205,0.3089435
7/25/2017,0.2714465,0.2361375,0.2880555,0.1735265,0.1518985,0.297263
7/26/2017,0.262162,0.23235,0.271956,0.165861,0.1466195,0.2843385
7/27/2017,0.287497,0.252188,0.221573,0.178986,0.1583745,0.313675
7/28/2017,0.2173635,0.2493505,0.203251,0.171699,0.1547835,0.302818
7/31/2017,0.2255865,0.243982,0.2210955,0.1750155,0.15692,0.3026545
8/1/2017,0.2121125,0.2400885,0.202663,0.1677365,0.151631,0.2981215
8/2/2017,0.2113365,0.199744,0.20284,0.1618685,0.154441,0.293188
8/3/2017,0.210449,0.1930265,0.200124,0.16813,0.153423,0.2953015
8/4/2017,0.1972065,0.184989,0.1898255,0.155716,0.14453,0.281754
8/7/2017,0.206323,0.1845375,0.188584,0.156243,0.1495635,0.285209
8/8/2017,0.20873,0.200518,0.199787,0.165242,0.157323,0.291167
8/9/2017,0.215,0.2015225,0.2042385,0.166749,0.1595275,0.29032
8/10/2017,0.2312605,0.2405925,0.226871,0.1891095,0.188517,0.336746
8/11/2017,0.2181615,0.227899,0.2194935,0.1805005,0.1774855,0.32333
8/14/2017,0.20369,0.207581,0.1896875,0.1548375,0.1534055,0.3007155
8/15/2017,0.20104,0.208938,0.189186,0.162909,0.1623975,0.284414
8/16/2017,0.1967015,0.200818,0.188702,0.1581825,0.1545365,0.2701845
8/17/2017,0.2177515,0.2388095,0.2124825,0.178834,0.1786085,0.3010005
8/18/2017,0.2091135,0.232305,0.205004,0.174725,0.1688355,0.2931935
8/21/2017,0.2103255,0.230051,0.196528,0.1666875,0.1680365,0.2977655
8/22/2017,0.187579,0.232374,0.1912845,0.159842,0.153651,0.272888
8/23/2017,0.195084,0.230608,0.198666,0.1620905,0.1606295,0.276044
8/24/2017,0.2104915,0.243898,0.202058,0.163125,0.153884,0.2834645
8/25/2017,0.1990335,0.2289845,0.198583,0.1484225,0.147896,0.278624
8/28/2017,0.20037,0.230332,0.1937115,0.1531875,0.147768,0.280661
8/29/2017,0.1932305,0.232601,0.19425,0.154645,0.1461905,0.2685455
8/30/2017,0.1958815,0.2301085,0.1905515,0.157457,0.1439865,0.273604
8/31/2017,0.199071,0.2230985,0.186327,0.153783,0.143608,0.273019
9/1/2017,0.185292,0.2327015,0.1847635,0.150115,0.1468205,0.2681015
9/5/2017,0.1979595,0.244453,0.1987385,0.1687045,0.1614215,0.2921545
9/6/2017,0.1951695,0.2401425,0.1857005,0.1659085,0.15387,0.292398
9/7/2017,0.193752,0.2391725,0.188993,0.164055,0.1529635,0.3003065
9/8/2017,0.1990825,0.242419,0.192806,0.1648825,0.157695,0.303805
9/11/2017,0.196863,0.237424,0.181588,0.161391,0.155543,0.3133175
9/12/2017,0.19832,0.2180045,0.1831175,0.1620935,0.153328,0.317028
9/13/2017,0.202215,0.1994155,0.178831,0.161405,0.1478995,0.319267
9/14/2017,0.209489,0.196603,0.1863005,0.1730735,0.149495,0.330355
9/15/2017,0.200102,0.19379,0.179064,0.1782685,0.1519135,0.3358455
9/18/2017,0.2219705,0.195605,0.1930245,0.1846415,0.15472,0.3764305
9/19/2017,0.2163215,0.190158,0.184084,0.182084,0.1603765,0.3739585
9/20/2017,0.2268005,0.201033,0.1874705,0.1830055,0.173648,0.383359
9/21/2017,0.2338795,0.2122045,0.200528,0.188194,0.1764665,0.4038595
9/22/2017,0.2361615,0.218589,0.2032475,0.1955705,0.174424,0.4004755
9/25/2017,0.2687385,0.239541,0.2654185,0.223116,0.1977635,0.435737
9/26/2017,0.2664635,0.2340955,0.258155,0.2286955,0.200839,0.423251
9/27/2017,0.2751365,0.2310465,0.240643,0.234279,0.1967665,0.4069555
9/28/2017,0.2827845,0.2312045,0.246985,0.2426225,0.198765,0.416008
9/29/2017,0.261584,0.2179025,0.2455665,0.236514,0.1975795,0.404993
10/2/2017,0.2669425,0.243241,0.263269,0.242755,0.2004185,0.424701
10/3/2017,0.2832965,0.242864,0.256926,0.2472425,0.2098485,0.4217315
10/4/2017,0.280418,0.243202,0.2718995,0.2496815,0.207463,0.430142
10/5/2017,0.286484,0.245601,0.2670255,0.2513855,0.197333,0.4379545
