Date,MSFT,microsoft stock
1/7/2016,32,18
1/8/2016,32,17
1/9/2016,9,8
1/10/2016,7,5
1/11/2016,19,15
1/12/2016,21,17
1/13/2016,31,18
1/14/2016,26,13
1/15/2016,30,15
1/16/2016,14,8
1/17/2016,8,7
1/18/2016,11,6
1/19/2016,23,14
1/20/2016,31,16
1/21/2016,29,19
1/22/2016,25,17
1/23/2016,7,7
1/24/2016,5,6
1/25/2016,21,11
1/26/2016,23,19
1/27/2016,28,14
1/28/2016,71,19
1/29/2016,75,30
1/30/2016,20,9
1/31/2016,9,7
2/1/2016,23,14
2/2/2016,33,16
2/3/2016,26,15
2/4/2016,26,17
2/5/2016,31,16
2/6/2016,11,9
2/7/2016,6,5
2/8/2016,29,17
2/9/2016,27,16
2/10/2016,31,13
2/11/2016,27,20
2/12/2016,25,9
2/13/2016,9,9
2/14/2016,7,7
2/15/2016,12,7
2/16/2016,19,12
2/17/2016,23,15
2/18/2016,22,15
2/19/2016,20,13
2/20/2016,5,6
2/21/2016,7,6
2/22/2016,23,10
2/23/2016,21,9
2/24/2016,21,17
2/25/2016,21,12
2/26/2016,20,14
2/27/2016,3,5
2/28/2016,7,7
2/29/2016,22,12
3/1/2016,28,18
3/2/2016,23,13
3/3/2016,23,14
3/4/2016,20,13
3/5/2016,12,6
3/6/2016,4,5
3/7/2016,15,13
3/8/2016,20,13
3/9/2016,23,17
3/10/2016,20,14
3/11/2016,22,14
3/12/2016,7,4
3/13/2016,3,7
3/14/2016,18,10
3/15/2016,20,14
3/16/2016,18,12
3/17/2016,25,14
3/18/2016,20,16
3/19/2016,9,5
3/20/2016,4,4
3/21/2016,21,13
3/22/2016,25,12
3/23/2016,23,11
3/24/2016,17,9
3/25/2016,13,9
3/26/2016,4,7
3/27/2016,4,7
3/28/2016,21,10
3/29/2016,21,12
3/30/2016,29,11
3/31/2016,30,11
4/1/2016,21,11
4/2/2016,6,7
4/3/2016,7,4
4/4/2016,21,11
4/5/2016,22,14
4/6/2016,18,6
4/7/2016,18,12
4/8/2016,19,11
4/9/2016,4,7
4/10/2016,12,6
4/11/2016,21,16
4/12/2016,18,8
4/13/2016,17,11
4/14/2016,21,12
4/15/2016,20,11
4/16/2016,4,7
4/17/2016,4,4
4/18/2016,25,11
4/19/2016,26,13
4/20/2016,29,17
4/21/2016,66,17
4/22/2016,86,34
4/23/2016,20,13
4/24/2016,12,8
4/25/2016,33,13
4/26/2016,35,15
4/27/2016,35,17
4/28/2016,29,20
4/29/2016,30,13
4/30/2016,11,8
5/1/2016,9,5
5/2/2016,21,18
5/3/2016,31,16
5/4/2016,25,13
5/5/2016,18,12
5/6/2016,21,10
5/7/2016,6,4
5/8/2016,7,5
5/9/2016,22,11
5/10/2016,23,13
5/11/2016,20,14
5/12/2016,19,16
5/13/2016,23,13
5/14/2016,4,4
5/15/2016,4,1
5/16/2016,19,11
5/17/2016,25,9
5/18/2016,25,13
5/19/2016,20,11
5/20/2016,24,11
5/21/2016,7,9
5/22/2016,4,7
5/23/2016,15,14
5/24/2016,19,12
5/25/2016,31,9
5/26/2016,20,12
5/27/2016,24,11
5/28/2016,7,2
5/29/2016,6,3
5/30/2016,5,1
5/31/2016,18,9
6/1/2016,23,8
6/2/2016,21,11
6/3/2016,24,11
6/4/2016,5,4
6/5/2016,9,7
6/6/2016,16,11
6/7/2016,21,13
6/8/2016,21,12
6/9/2016,20,11
6/10/2016,18,7
6/11/2016,8,5
6/12/2016,3,7
6/13/2016,100,69
6/14/2016,46,44
6/15/2016,32,18
6/16/2016,23,16
6/17/2016,24,17
6/18/2016,7,9
6/19/2016,5,6
6/20/2016,19,11
6/21/2016,23,13
6/22/2016,24,12
6/23/2016,24,15
6/24/2016,50,19
6/25/2016,11,13
6/26/2016,7,8
6/27/2016,27,14
6/28/2016,35,12
6/29/2016,23,11
6/30/2016,24,12
7/1/2016,20,10
7/2/2016,8,8
7/3/2016,4,5
7/4/2016,10,4
7/5/2016,17,8
7/6/2016,22,10
7/7/2016,32,11
7/8/2016,26,13
7/9/2016,10,8
7/10/2016,4,0
7/11/2016,27,10
7/12/2016,28,11
7/13/2016,20,7
7/14/2016,22,11
7/15/2016,25,12
7/16/2016,13,7
7/17/2016,7,10
7/18/2016,31,17
7/19/2016,91,19
7/20/2016,97,30
7/21/2016,54,18
7/22/2016,35,14
7/23/2016,10,10
7/24/2016,10,9
7/25/2016,25,11
7/26/2016,26,7
7/27/2016,28,14
7/28/2016,26,16
7/29/2016,26,14
7/30/2016,11,5
7/31/2016,8,5
8/1/2016,22,15
8/2/2016,21,13
8/3/2016,21,11
8/4/2016,23,12
8/5/2016,26,10
8/6/2016,8,0
8/7/2016,6,4
8/8/2016,26,7
8/9/2016,15,12
8/10/2016,19,5
8/11/2016,24,4
8/12/2016,16,8
8/13/2016,7,5
8/14/2016,4,5
8/15/2016,24,7
8/16/2016,21,8
8/17/2016,22,9
8/18/2016,19,11
8/19/2016,16,7
8/20/2016,5,2
8/21/2016,3,5
8/22/2016,24,10
8/23/2016,16,12
8/24/2016,25,10
8/25/2016,21,14
8/26/2016,16,10
8/27/2016,5,5
8/28/2016,0,4
8/29/2016,11,10
8/30/2016,23,12
8/31/2016,22,11
9/1/2016,22,12
9/1/2016,21,11
9/2/2016,23,9
9/3/2016,5,3
9/4/2016,8,3
9/5/2016,2,5
9/6/2016,17,12
9/7/2016,23,13
9/8/2016,23,13
9/9/2016,27,7
9/10/2016,10,9
9/11/2016,7,6
9/12/2016,19,10
9/13/2016,18,12
9/14/2016,20,13
9/15/2016,19,7
9/16/2016,18,10
9/17/2016,7,3
9/18/2016,3,5
9/19/2016,18,12
9/20/2016,26,12
9/21/2016,33,13
9/22/2016,26,11
9/23/2016,23,11
9/24/2016,7,1
9/25/2016,11,4
9/26/2016,18,14
9/27/2016,22,13
9/28/2016,21,13
9/29/2016,16,13
9/30/2016,22,8
10/1/2016,7,3
10/2/2016,6,2
10/3/2016,15,5
10/4/2016,20,9
10/5/2016,18,10
10/6/2016,19,9
10/7/2016,15,9
10/8/2016,9,5
10/9/2016,4,6
10/10/2016,17,9
10/11/2016,19,11
10/12/2016,19,9
10/13/2016,20,8
10/14/2016,16,11
10/15/2016,5,3
10/16/2016,4,4
10/17/2016,21,12
10/18/2016,20,10
10/19/2016,21,12
10/20/2016,71,19
10/21/2016,100,40
10/22/2016,23,12
10/23/2016,10,9
10/24/2016,36,18
10/25/2016,44,18
10/26/2016,45,22
10/27/2016,34,24
10/28/2016,24,17
10/29/2016,12,10
10/30/2016,9,11
10/31/2016,15,16
11/1/2016,30,18
11/2/2016,22,14
11/3/2016,19,17
11/4/2016,15,10
11/5/2016,9,4
11/6/2016,7,0
11/7/2016,25,13
11/8/2016,27,16
11/9/2016,55,27
11/10/2016,32,22
11/11/2016,28,15
11/12/2016,16,8
11/13/2016,8,5
11/14/2016,24,13
11/15/2016,29,14
11/16/2016,29,13
11/17/2016,24,16
11/18/2016,27,12
11/19/2016,11,4
11/20/2016,5,6
11/21/2016,20,10
11/22/2016,25,16
11/23/2016,24,11
11/24/2016,10,4
11/25/2016,17,8
11/26/2016,5,5
11/27/2016,5,9
11/28/2016,18,11
11/29/2016,22,10
11/30/2016,23,12
12/1/2016,22,15
12/2/2016,18,12
12/3/2016,8,8
12/4/2016,8,6
12/5/2016,23,11
12/6/2016,27,17
12/7/2016,26,16
12/8/2016,29,18
12/9/2016,28,16
12/10/2016,16,6
12/11/2016,7,0
12/12/2016,25,19
12/13/2016,29,18
12/14/2016,26,14
12/15/2016,22,15
12/16/2016,22,16
12/17/2016,7,9
12/18/2016,4,6
12/19/2016,21,14
12/20/2016,27,14
12/21/2016,24,15
12/22/2016,26,12
12/23/2016,18,8
12/24/2016,11,7
12/25/2016,6,5
12/26/2016,8,6
12/27/2016,20,6
12/28/2016,21,14
12/29/2016,19,11
12/30/2016,25,11
12/31/2016,5,4
1/1/2017,6,3
1/2/2017,6,6
1/3/2017,24,13
1/4/2017,20,19
1/5/2017,22,16
1/6/2017,27,19
1/7/2017,4,4
1/8/2017,5,7
1/9/2017,15,10
1/10/2017,20,13
1/11/2017,19,12
1/12/2017,31,13
1/13/2017,24,15
1/14/2017,9,9
1/15/2017,10,6
1/16/2017,11,8
1/17/2017,23,15
1/18/2017,20,13
1/19/2017,25,11
1/20/2017,22,13
1/21/2017,12,6
1/22/2017,10,7
1/23/2017,25,12
1/24/2017,29,19
1/25/2017,37,19
1/26/2017,76,22
1/27/2017,95,26
1/28/2017,20,17
1/29/2017,14,8
1/30/2017,34,19
1/31/2017,34,21
2/1/2017,34,14
2/2/2017,31,21
2/3/2017,31,23
2/4/2017,11,11
2/5/2017,9,6
2/6/2017,27,9
2/7/2017,23,18
2/8/2017,19,15
2/9/2017,25,19
2/10/2017,23,16
2/11/2017,6,12
2/12/2017,4,7
2/13/2017,20,13
2/14/2017,23,18
2/15/2017,26,19
2/16/2017,26,15
2/17/2017,23,17
2/18/2017,14,9
2/19/2017,4,5
2/20/2017,12,6
2/21/2017,20,13
2/22/2017,22,16
2/23/2017,25,13
2/24/2017,23,12
2/25/2017,9,4
2/26/2017,5,7
2/27/2017,22,14
2/28/2017,24,17
3/1/2017,31,21
3/2/2017,30,20
3/3/2017,25,24
3/4/2017,8,7
3/5/2017,8,7
3/6/2017,22,16
3/7/2017,28,18
3/8/2017,23,14
3/9/2017,23,19
3/10/2017,21,17
3/11/2017,8,7
3/12/2017,4,9
3/13/2017,22,17
3/14/2017,26,15
3/15/2017,23,13
3/16/2017,17,11
3/17/2017,24,16
3/18/2017,4,8
3/19/2017,1,2
3/20/2017,21,11
3/21/2017,24,17
3/22/2017,25,17
3/23/2017,17,15
3/24/2017,18,15
3/25/2017,9,7
3/26/2017,4,7
3/27/2017,23,11
3/28/2017,22,17
3/29/2017,23,16
3/30/2017,19,15
3/31/2017,20,14
4/1/2017,8,8
4/2/2017,4,6
4/3/2017,22,16
