date,amazon stock,apple stock,facebook stock,google stock,microsoft stock,netflix stock,AMZN,AAPL,META,FB,GOOGL,MSFT,NFLX
4/24/2014 0:00,58.04878049,200.9090909,69.64285714,92.8627451,43.80769231,23.6969697,63.15789474,100,88.08045977,80.92105263,93.89010989,53.42105263,0.032
4/25/2014 0:00,85.36585366,101.6363636,45.96428571,81.25490196,65.38461538,17.51515152,84.21052632,50,80.81609195,83.07894737,90.72527473,61.40350877,0
4/26/2014 0:00,59.75609756,42.54545455,25.76785714,43.52941176,22.23076923,12.87878788,27.78947368,14,61.74712644,93.86842105,89.67032967,15.35087719,0
4/27/2014 0:00,32.43902439,30.72727273,18.80357143,42.07843137,22.88461538,10.3030303,10.94736842,10,59.02298851,89.55263158,94.94505495,11.66666667,0.028
4/28/2014 0:00,59.75609756,68.54545455,37.60714286,75.45098039,38.57692308,24.21212121,52.21052632,41,80.81609195,78.76315789,97.05494505,30.0877193,0
4/29/2014 0:00,52.07317073,78,36.91071429,68.19607843,52.30769231,17,35.36842105,41,71.73563218,76.60526316,93.89010989,27.63157895,0
4/30/2014 0:00,47.80487805,66.18181818,41.08928571,65.29411765,35.96153846,14.42424242,27.78947368,42,74.45977011,82,104.4395604,31.31578947,0
5/1/2014 0:00,35,63.81818182,36.21428571,63.84313725,49.03846154,15.96969697,36.21052632,39,78.09195402,85.23684211,99.16483516,32.54385965,0
5/2/2014 0:00,46.09756098,54.36363636,36.91071429,60.94117647,31.38461538,18.54545455,26.10526316,31,73.55172414,83.07894737,96,26.40350877,0
5/3/2014 0:00,27.31707317,26,20.89285714,30.47058824,31.38461538,4.636363636,6.736842105,12,59.93103448,97.10526316,88.61538462,14.12280702,0
5/4/2014 0:00,24.75609756,16.54545455,20.19642857,30.47058824,22.23076923,4.121212121,5.052631579,6,64.47126437,94.94736842,92.83516484,9.210526316,0
5/5/2014 0:00,34.14634146,47.27272727,28.55357143,65.29411765,35.96153846,13.90909091,26.10526316,33,75.36781609,77.68421053,90.72527473,19.64912281,0
